id,subj_folderimage_path
11,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/11
12,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/12
13,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/13
14,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/14
15,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/15
16,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/16
17,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/17
18,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/18
19,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/19
20,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/20
21,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/21
22,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/22
23,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/23
24,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/24
25,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/25
26,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/26
28,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/28
31,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/31
32,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/32
33,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/33
34,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/34
35,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/35
37,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/37
38,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/38
39,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/39
40,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/40
41,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/41
42,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/42
43,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/43
44,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/44
45,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/45
46,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/46
47,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/47
48,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/48
49,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/49
50,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/50
51,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/51
52,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/52
53,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/53
54,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/54
55,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/55
56,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/56
57,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/57
58,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/58
59,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/59
60,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/60
61,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/61
62,/vol/bitbucket/vvv214/pmap_crop/4mm_PBAF_set1/bldr/62
